REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Belgium (incl. Luxembourg 'LU' -> 1998)","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",59565080638
"Belgium (incl. Luxembourg 'LU' -> 1998)","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",58377876256
"Belgium (incl. Luxembourg 'LU' -> 1998)","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",92298774509
"Belgium (incl. Luxembourg 'LU' -> 1998)","Germany (incl. German Democratic Republic 'DD' from 1991)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",77527834222
"Belgium (incl. Luxembourg 'LU' -> 1998)","Denmark","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2238430501
"Belgium (incl. Luxembourg 'LU' -> 1998)","Denmark","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2250320518
"Belgium (incl. Luxembourg 'LU' -> 1998)","Denmark","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",4415201361
"Belgium (incl. Luxembourg 'LU' -> 1998)","Denmark","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",3770531328
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",303160125
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",396369969
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",258761081
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",428550674
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",684831912
"Belgium (incl. Luxembourg 'LU' -> 1998)","Estonia","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",405622749
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",12774152539
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",12679246793
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",12546808428
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2025","VALUE_IN_EUR_MIRROR",16981743392
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",17447802238
"Belgium (incl. Luxembourg 'LU' -> 1998)","Spain (incl. Canary Islands 'XB' from 1997)","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",16012902956
"Belgium (incl. Luxembourg 'LU' -> 1998)","Finland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2871964250
"Belgium (incl. Luxembourg 'LU' -> 1998)","Finland","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2526564506
"Belgium (incl. Luxembourg 'LU' -> 1998)","Finland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",2875216551
"Belgium (incl. Luxembourg 'LU' -> 1998)","Finland","Total","EXPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",2825225782
"Belgium (incl. Luxembourg 'LU' -> 1998)","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR",49620019194
"Belgium (incl. Luxembourg 'LU' -> 1998)","France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)","Total","IMPORT","Total","Jan.-Dec. 2024","VALUE_IN_EUR_MIRROR",45679289629
